Burrow,Filename,PH_Date,RFID,Wt_Entry,Wt_Exit,Wt_Del,Pct,Chick_Age,DOY
22,DL_07_22_22.TXT,1,6.20E+06,43.75,42.65,-1.1,0.025142857,1,204
22,DL_07_31_22.TXT,10,6.20E+06,56.18,41.03,-15.15,0.269668921,10,213
22,DL_07_31_22.TXT,10,0620000CFB,52.46,44.77,-7.69,0.146587876,10,213
22,DL_08_01_22.TXT,11,0620000CFB,51.44,41.2,-10.24,0.199066874,11,214
22,DL_08_03_22.TXT,13,6.20E+06,56.47,41.08,-15.39,0.272534089,13,216
22,DL_08_06_22.TXT,16,6.20E+06,54.93,42.36,-12.57,0.228836701,16,219
87,DL_07_18_87.TXT,9,0620000C7A,52.6,42.06,-10.54,0.200380228,9,200
87,DL_07_20_87.TXT,11,Check this,50.11,43.17,-6.94,0.13849531,11,202
87,DL_07_20_87.TXT,11,Missing,50.21,40.96,-9.25,0.18422625,11,202
87,DL_07_22_87.TXT,13,Missing,46.79,39.32,-7.47,0.159649498,13,204
87,DL_07_23_87.TXT,14,0620000C7A,50.2,41.38,-8.82,0.175697211,14,205
87,DL_07_24_87.TXT,15,0620000DB6,51.84,41.15,-10.69,0.20621142,15,206
87,DL_07_25_87.TXT,16,Missing,53.54,42.68,-10.86,0.202838999,16,207
87,DL_07_30_87.TXT,21,0620000DB6,42.41,41.06,-1.35,0.031832115,21,212
87,DL_07_31_87.TXT,22,0620000C7A,50.98,38.89,-12.09,0.237151824,22,213
87,DL_08_01_87.TXT,23,0620000C7A,46.89,42.06,-4.83,0.103007038,23,214
87,DL_08_03_87.TXT,24,0620000C7A,51.28,39.78,-11.5,0.22425897,24,216
87,DL_08_04_87.TXT,25,0620000DB6,52.15,40.05,-12.1,0.232023011,25,217
87,DL_08_06_87.TXT,27,Check this,52.68,44.4,-8.28,0.157175399,27,219
87,DL_08_06_87.TXT,27,Check this,51.23,42.84,-8.39,0.163771228,27,219
97,DL_08_08_97.TXT,NA,Missing,49.91,41.01,-8.9,49.91,NA,NA
206,DL_07_09_206.TXT,0,Missing,48.89,45.57,-3.32,0.067907548,0,191
206,DL_07_10_206.TXT,1,Missing,47.72,39.54,-8.18,0.171416597,1,192
206,DL_07_14_206.TXT,5,Missing,51.72,43.17,-8.55,0.165313225,5,196
206,DL_07_14_206.TXT,5,Missing,45.98,39.94,-6.04,0.131361462,5,196
206,DL_07_15_206.TXT,6,Missing,49.9,43.27,-6.63,0.132865731,6,197
206,DL_07_16_206.TXT,7,0620000BBC,47.41,42.86,-4.55,0.095971314,7,198
206,DL_07_16_206.TXT,7,0620000B5B,49.06,44.34,-4.72,0.096208724,7,198
